Customer_ID,Customer_Name,Age,Gender,Location,Product_Category,Product_ID,Purchase_Date,Purchase_Amount,Payment_Method,Rating,Feedback_Comments,Customer_Lifetime_Value,Loyalty_Score,Discount_Applied,Return_Status,Customer_Segment,Preferred_Shopping_Channel,Churn
17270,John,56.0,Other,New York,Books,674,2020-01-01 00:00:00,491.6430115939084,Cash,,,3673.7127471287,60,No,No,Regular,In-store,0
10860,Eve,33.0,Other,Houston,Home Appliances,393,2020-01-01 01:00:00,144.3267219240498,Cash,5.0,Good,2103.060388103142,29,Yes,Yes,New,In-store,1
15390,John,50.0,Female,Houston,Clothing,995,2020-01-01 02:00:00,109.3018917753112,Bank Transfer,,,899.1150591856137,92,No,No,VIP,Online,0
15191,Eve,66.0,Other,San Francisco,Electronics,405,2020-01-01 03:00:00,226.6555157554255,Bank Transfer,2.0,Excellent,2591.13771644049,62,Yes,Yes,Regular,Online,1
15734,Eve,38.0,Female,New York,Toys,353,2020-01-01 04:00:00,37.85187964907034,Bank Transfer,2.0,,548.6203971454596,80,No,Yes,Regular,Both,1
16265,Bob,26.0,Other,New York,Clothing,279,2020-01-01 05:00:00,489.4622876891775,PayPal,3.0,,2727.555898669597,46,No,No,Regular,Online,0
10466,Charlie,23.0,Female,New York,Clothing,139,2020-01-01 06:00:00,298.3324426440482,PayPal,4.0,,3076.554423084574,26,No,No,New,Both,1
14426,Eve,68.0,Other,Chicago,Books,875,2020-01-01 07:00:00,282.9065249154459,Bank Transfer,4.0,Bad,3269.74572904248,28,No,No,New,Online,0
15578,Bob,62.0,Other,Chicago,Electronics,800,2020-01-01 08:00:00,331.3401771508628,Credit Card,2.0,,4319.156456370234,92,Yes,No,VIP,Online,0
18322,Charlie,52.0,Male,San Francisco,Books,619,2020-01-01 09:00:00,253.5415874108313,Credit Card,3.0,Average,3428.350801832161,59,No,No,Regular,Both,0
11685,Eve,56.0,Other,New York,Books,715,2020-01-01 10:00:00,25.71112337632538,Bank Transfer,2.0,Good,287.6999803763301,55,No,No,Regular,Online,0
10769,Eve,39.0,Other,New York,Home Appliances,836,2020-01-01 11:00:00,310.0325315317944,PayPal,4.0,,2346.345641696344,86,Yes,No,VIP,In-store,0
16949,John,58.0,Male,Houston,Toys,645,2020-01-01 12:00:00,360.925199708651,PayPal,5.0,Average,4178.94523654391,90,No,No,VIP,Online,0
12433,John,22.0,Female,Houston,Clothing,335,2020-01-01 13:00:00,214.207039705786,Credit Card,3.0,,1697.167684627304,52,No,Yes,Regular,Online,1
15311,Charlie,59.0,Male,San Francisco,Electronics,562,2020-01-01 14:00:00,381.0748303148845,Cash,,,3851.796962789508,27,Yes,Yes,New,In-store,1
15051,Eve,40.0,Male,New York,Toys,327,2020-01-01 15:00:00,121.2306366758261,Credit Card,2.0,Excellent,835.9148928477689,6,Yes,No,New,Online,1
16420,Alice,34.0,Female,San Francisco,Toys,799,2020-01-01 16:00:00,118.4255296224302,Cash,5.0,Average,1677.421471373182,59,No,No,Regular,In-store,0
11184,John,29.0,Other,Houston,Electronics,924,2020-01-01 17:00:00,89.09432396691123,PayPal,4.0,,935.0825358214901,13,No,No,New,Online,1
14555,Charlie,40.0,Female,Houston,Toys,582,2020-01-01 18:00:00,192.2774322966893,PayPal,1.0,Good,1798.198824137643,26,No,No,New,Both,1
13385,Eve,33.0,Other,Chicago,Home Appliances,529,2020-01-01 19:00:00,425.0358973406509,Bank Transfer,4.0,,5765.195187242348,64,Yes,Yes,Regular,In-store,1
16396,Eve,20.0,Other,San Francisco,Toys,121,2020-01-01 20:00:00,415.6769104530415,PayPal,4.0,,5266.273975383519,13,No,No,New,In-store,1
18666,Alice,47.0,Female,San Francisco,Home Appliances,442,2020-01-01 21:00:00,197.5838619021169,Cash,5.0,,2890.166581131101,47,Yes,Yes,Regular,Online,1
19274,Charlie,39.0,Male,New York,Clothing,139,2020-01-01 22:00:00,298.6681806303159,Credit Card,,Average,3043.604415047283,55,Yes,No,Regular,In-store,0
12558,Eve,26.0,Female,New York,Clothing,272,2020-01-01 23:00:00,363.1999950727086,Bank Transfer,4.0,Good,2256.03310034553,49,No,Yes,Regular,Online,1
17849,John,46.0,Other,Chicago,Books,538,2020-01-02 00:00:00,128.1913195677313,Cash,3.0,Excellent,735.278550815486,19,No,No,New,Both,1
12047,Alice,64.0,Female,Los Angeles,Home Appliances,278,2020-01-02 01:00:00,92.38913208842607,Credit Card,5.0,Excellent,543.468568156659,21,No,No,New,Both,1
12747,Charlie,54.0,Female,Los Angeles,Clothing,697,2020-01-02 02:00:00,486.3270366740324,Credit Card,5.0,,4754.768461677678,72,Yes,No,Regular,Online,0
19167,Alice,40.0,Other,Los Angeles,Toys,232,2020-01-02 03:00:00,312.6030834727131,Credit Card,2.0,,2249.468722858803,99,No,Yes,VIP,Both,1
19998,John,30.0,Male,San Francisco,Electronics,450,2020-01-02 04:00:00,490.8937036984953,PayPal,1.0,,2747.830335053543,72,Yes,Yes,Regular,Online,1
10189,Charlie,49.0,Female,San Francisco,Electronics,624,2020-01-02 05:00:00,175.5004336947923,Credit Card,5.0,,1407.517990179504,30,No,No,New,In-store,0
12734,Alice,63.0,Other,Houston,Home Appliances,639,2020-01-02 06:00:00,354.4855329873245,PayPal,5.0,Excellent,3168.135404704659,40,No,No,New,Online,0
13005,Bob,69.0,Other,San Francisco,Books,605,2020-01-02 07:00:00,119.0757819052065,Credit Card,3.0,,1321.652324186231,72,No,No,Regular,Both,0
14658,John,64.0,Female,San Francisco,Toys,183,2020-01-02 08:00:00,137.9880839242173,Credit Card,5.0,,1218.877169740629,86,Yes,No,VIP,In-store,0
11899,John,65.0,Male,San Francisco,Home Appliances,563,2020-01-02 09:00:00,260.8320394221157,PayPal,4.0,Good,3808.951749358179,76,No,No,Regular,In-store,0
17734,,40.0,Female,Chicago,Electronics,929,2020-01-02 10:00:00,166.6128814989549,PayPal,,Good,1962.597818205131,79,No,No,Regular,Online,0
11267,Bob,62.0,Male,San Francisco,Home Appliances,960,2020-01-02 11:00:00,92.13456628188639,Cash,2.0,Average,770.6896449717811,43,No,No,Regular,Online,0
11528,Bob,34.0,Male,New York,Toys,442,2020-01-02 12:00:00,138.8115439747697,Credit Card,4.0,Good,1081.051860354713,57,No,No,Regular,In-store,0
13556,Eve,57.0,Male,New York,Clothing,379,2020-01-02 13:00:00,27.51671328827367,PayPal,5.0,,353.7618249091465,6,No,No,New,In-store,1
13890,Alice,38.0,Male,Houston,Toys,965,2020-01-02 14:00:00,355.1675745239684,Cash,1.0,Good,4042.114034003081,43,No,No,Regular,Online,0
18838,Eve,19.0,Female,Chicago,Clothing,362,2020-01-02 15:00:00,251.1371619720722,Cash,5.0,Excellent,1284.899298753037,91,No,No,VIP,In-store,0
15393,Alice,54.0,Other,New York,Clothing,265,2020-01-02 16:00:00,56.17910253821756,PayPal,2.0,Excellent,805.5470186365926,11,Yes,No,New,In-store,1
18792,Bob,23.0,Other,Chicago,Clothing,392,2020-01-02 17:00:00,94.13005663296069,Credit Card,1.0,,1332.128835211722,6,No,Yes,New,In-store,1
18433,Bob,61.0,Other,Chicago,Home Appliances,608,2020-01-02 18:00:00,60.24192367519557,Cash,3.0,Good,823.1837966243362,70,Yes,Yes,Regular,Online,1
17513,Eve,35.0,Other,Houston,Electronics,679,2020-01-02 19:00:00,310.1704760551794,Credit Card,3.0,,3906.989062722836,75,No,No,Regular,Both,0
12612,Charlie,47.0,Other,Chicago,Home Appliances,325,2020-01-02 20:00:00,,Credit Card,5.0,Excellent,,20,No,Yes,New,In-store,1
17041,Eve,39.0,Other,San Francisco,Electronics,269,2020-01-02 21:00:00,379.5983431872559,Cash,5.0,Good,3151.53226652997,64,Yes,No,Regular,In-store,0
19555,Alice,50.0,Female,Chicago,Toys,697,2020-01-02 22:00:00,20.05035046699167,PayPal,1.0,,245.7658485823528,62,No,Yes,Regular,Online,1
16235,Eve,47.0,Male,Houston,Books,744,2020-01-02 23:00:00,,Credit Card,1.0,,,27,Yes,No,New,Both,0
15486,,34.0,Other,Houston,Toys,547,2020-01-03 00:00:00,446.4266711870345,Bank Transfer,5.0,,3628.559226985717,7,No,No,New,In-store,1
17099,Alice,60.0,Female,Houston,Home Appliances,789,2020-01-03 01:00:00,,PayPal,2.0,Excellent,,3,No,No,New,Online,1
19670,Alice,49.0,Other,New York,Home Appliances,954,2020-01-03 02:00:00,45.75448313358698,Cash,3.0,,598.2535250543268,3,No,No,New,In-store,1
10775,Charlie,59.0,Other,San Francisco,Electronics,601,2020-01-03 03:00:00,412.3517911977381,Bank Transfer,1.0,Good,2371.915699291731,95,Yes,No,VIP,Online,0
18226,Bob,68.0,Male,New York,Home Appliances,863,2020-01-03 04:00:00,251.5872095547003,Credit Card,2.0,Good,2304.20705281608,14,No,Yes,New,Online,1
13152,Alice,31.0,Male,Los Angeles,Clothing,626,2020-01-03 05:00:00,424.9236833127263,PayPal,5.0,,3115.049254940304,18,Yes,No,New,Online,1
11585,Bob,27.0,Male,San Francisco,Home Appliances,834,2020-01-03 06:00:00,304.3624894806928,Bank Transfer,4.0,,3325.093444456805,94,No,No,VIP,In-store,0
13943,Eve,64.0,Other,Chicago,Electronics,478,2020-01-03 07:00:00,344.0981856961008,PayPal,1.0,Average,2779.99013588214,26,No,No,New,Online,1
17555,John,68.0,Other,Houston,Electronics,300,2020-01-03 08:00:00,496.815764593897,Credit Card,4.0,Excellent,6014.880532392548,47,Yes,No,Regular,Both,0
13073,Charlie,53.0,Other,Los Angeles,Clothing,718,2020-01-03 09:00:00,123.8444175027689,PayPal,,,1832.770292769425,34,No,No,New,Both,0
11021,Bob,51.0,Male,San Francisco,Electronics,349,2020-01-03 10:00:00,315.7333316330803,Bank Transfer,3.0,Average,3912.298691794201,47,No,No,Regular,Online,0
13843,Alice,26.0,Female,New York,Books,508,2020-01-03 11:00:00,235.5574811281252,PayPal,2.0,,2200.461771766355,31,No,No,New,Online,0
17989,Bob,,Other,Houston,Toys,700,2020-01-03 12:00:00,29.3314569321188,Cash,3.0,,357.0104085353868,58,No,No,Regular,Online,0
19692,Alice,45.0,Other,New York,Home Appliances,224,2020-01-03 13:00:00,,Cash,2.0,Bad,,37,No,No,New,In-store,0
16873,Bob,28.0,Other,San Francisco,Books,212,2020-01-03 14:00:00,68.42200313075075,Bank Transfer,1.0,Average,624.7811483614095,76,Yes,No,Regular,Online,0
15675,,31.0,Female,San Francisco,Home Appliances,236,2020-01-03 15:00:00,328.0549528638886,PayPal,1.0,,4732.590863229367,5,No,Yes,New,In-store,1
10161,,56.0,Other,Los Angeles,Books,858,2020-01-03 16:00:00,287.9099130775622,Bank Transfer,4.0,,1517.443283183921,74,No,No,Regular,Both,0
14297,Alice,64.0,Female,Chicago,Home Appliances,595,2020-01-03 17:00:00,281.1804849702264,PayPal,2.0,Good,2694.205988314111,21,No,No,New,Online,1
